id,parent_id,slug,name,sort_order
1,,root,Root,1
2,1,men,Men,1
3,2,men/whats-new,What's New,1
4,3,men/whats-new/new-arrivals,New Arrivals,2
5,3,men/whats-new/the-resort-collection,The Resort Collection,3
6,3,men/whats-new/polo-sport,Polo Sport,4
7,3,men/whats-new/team-usa-collection,Team USA Collection,5
8,3,men/whats-new/heritage-icons,Heritage Icons,6
9,3,men/whats-new/ralph-lauren-vintage,Ralph Lauren Vintage,7
10,3,men/whats-new/the-polo-bear-shop,The Polo Bear Shop,8
11,3,men/whats-new/pin-of-solidarity,Pin of Solidarity,9
12,2,men/clothing,Clothing,2
13,12,men/clothing/all-mens-clothing,All Men's Clothing,2
14,12,men/clothing/polo-shirts,Polo Shirts,3
15,12,men/clothing/t-shirts-and-rugby-shirts,T-Shirts & Rugby Shirts,4
16,12,men/clothing/casual-shirts-and-dress-shirts,Casual Shirts & Dress Shirts,5
17,12,men/clothing/sweatshirts-and-sweatpants,Sweatshirts & Sweatpants,6
18,12,men/clothing/shorts-and-swim-trunks,Shorts & Swim Trunks,7
19,12,men/clothing/jeans-and-denim,Jeans & Denim,8
20,12,men/clothing/pants-and-chinos,Pants & Chinos,9
21,12,men/clothing/sweaters,Sweaters,10
22,12,men/clothing/jackets-coats-and-vests,"Jackets, Coats & Vests",11
23,12,men/clothing/activewear,Activewear,12
24,12,men/clothing/sport-coats-and-blazers,Sport Coats & Blazers,13
25,12,men/clothing/suits-and-tuxedos,Suits & Tuxedos,14
26,12,men/clothing/pajamas-and-robes,Pajamas & Robes,15
27,12,men/clothing/underwear-and-undershirts,Underwear & Undershirts,16
28,2,men/shoes,Shoes,3
29,28,men/shoes/all-mens-shoes,All Men's Shoes,2
30,28,men/shoes/sneakers,Sneakers,3
31,28,men/shoes/slides-and-slippers,Slides & Slippers,4
32,28,men/shoes/casual-shoes,Casual Shoes,5
33,28,men/shoes/dress-shoes,Dress Shoes,6
34,28,men/shoes/boots,Boots,7
35,2,men/accessories,Accessories,4
36,35,men/accessories/all-mens-accessories,All Men's Accessories,2
37,35,men/accessories/hats-scarves-and-gloves,"Hats, Scarves & Gloves",3
38,35,men/accessories/belts-and-suspenders,Belts & Suspenders,4
